Team 1,Team 2,Score,Winner,Team 1 Player 1 Wins,Team 1 Player 1 Draws,Team 1 Player 1 Losses,Team 2 Player 1 Wins,Team 2 Player 1 Draws,Team 2 Player 1 Losses,Team 1 Player 2 Wins,Team 1 Player 2 Draws,Team 1 Player 2 Losses,Team 2 Player 2 Wins,Team 2 Player 2 Draws,Team 2 Player 2 Losses,Team 1 Player 3 Wins,Team 1 Player 3 Draws,Team 1 Player 3 Losses,Team 2 Player 3 Wins,Team 2 Player 3 Draws,Team 2 Player 3 Losses,Team 1 Player 4 Wins,Team 1 Player 4 Draws,Team 1 Player 4 Losses,Team 2 Player 4 Wins,Team 2 Player 4 Draws,Team 2 Player 4 Losses,Team 1 Player 5 Wins,Team 1 Player 5 Draws,Team 1 Player 5 Losses,Team 2 Player 5 Wins,Team 2 Player 5 Draws,Team 2 Player 5 Losses,Team 1 Player 6 Wins,Team 1 Player 6 Draws,Team 1 Player 6 Losses,Team 2 Player 6 Wins,Team 2 Player 6 Draws,Team 2 Player 6 Losses,Team 1 Player 7 Wins,Team 1 Player 7 Draws,Team 1 Player 7 Losses,Team 2 Player 7 Wins,Team 2 Player 7 Draws,Team 2 Player 7 Losses,Team 1 Player 8 Wins,Team 1 Player 8 Draws,Team 1 Player 8 Losses,Team 2 Player 8 Wins,Team 2 Player 8 Draws,Team 2 Player 8 Losses,Team 1 Player 9 Wins,Team 1 Player 9 Draws,Team 1 Player 9 Losses,Team 2 Player 9 Wins,Team 2 Player 9 Draws,Team 2 Player 9 Losses,Team 1 Player 10 Wins,Team 1 Player 10 Draws,Team 1 Player 10 Losses,Team 2 Player 10 Wins,Team 2 Player 10 Draws,Team 2 Player 10 Losses,Team 1 Player 11 Wins,Team 1 Player 11 Draws,Team 1 Player 11 Losses,Team 2 Player 11 Wins,Team 2 Player 11 Draws,Team 2 Player 11 Losses,Team 1 Player 12 Wins,Team 1 Player 12 Draws,Team 1 Player 12 Losses,Team 2 Player 12 Wins,Team 2 Player 12 Draws,Team 2 Player 12 Losses,Team 1 Player 13 Wins,Team 1 Player 13 Draws,Team 1 Player 13 Losses,Team 2 Player 13 Wins,Team 2 Player 13 Draws,Team 2 Player 13 Losses,Team 1 Player 14 Wins,Team 1 Player 14 Draws,Team 1 Player 14 Losses,Team 2 Player 14 Wins,Team 2 Player 14 Draws,Team 2 Player 14 Losses,Team 1 Player 15 Wins,Team 1 Player 15 Draws,Team 1 Player 15 Losses,Team 2 Player 15 Wins,Team 2 Player 15 Draws,Team 2 Player 15 Losses,Team 1 Player 16 Wins,Team 1 Player 16 Draws,Team 1 Player 16 Losses,Team 2 Player 16 Wins,Team 2 Player 16 Draws,Team 2 Player 16 Losses,Team 1 Player 17 Wins,Team 1 Player 17 Draws,Team 1 Player 17 Losses,Team 2 Player 17 Wins,Team 2 Player 17 Draws,Team 2 Player 17 Losses,Team 1 Player 18 Wins,Team 1 Player 18 Draws,Team 1 Player 18 Losses,Team 2 Player 18 Wins,Team 2 Player 18 Draws,Team 2 Player 18 Losses,Team 1 Player 19 Wins,Team 1 Player 19 Draws,Team 1 Player 19 Losses,Team 2 Player 19 Wins,Team 2 Player 19 Draws,Team 2 Player 19 Losses,Team 1 Player 20 Wins,Team 1 Player 20 Draws,Team 1 Player 20 Losses,Team 2 Player 20 Wins,Team 2 Player 20 Draws,Team 2 Player 20 Losses,Team 1 Player 21 Wins,Team 1 Player 21 Draws,Team 1 Player 21 Losses,Team 2 Player 21 Wins,Team 2 Player 21 Draws,Team 2 Player 21 Losses,Team 1 Player 22 Wins,Team 1 Player 22 Draws,Team 1 Player 22 Losses,Team 2 Player 22 Wins,Team 2 Player 22 Draws,Team 2 Player 22 Losses,Team 1 Player 23 Wins,Team 1 Player 23 Draws,Team 1 Player 23 Losses,Team 2 Player 23 Wins,Team 2 Player 23 Draws,Team 2 Player 23 Losses,Team 1 Player 24 Wins,Team 1 Player 24 Draws,Team 1 Player 24 Losses,Team 2 Player 24 Wins,Team 2 Player 24 Draws,Team 2 Player 24 Losses
Žalgiris,Struga,0-0,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Red Imps,Qarabağ,1-2,Qarabağ,0,0,0,0,0,0,3,13,15,0,0,0,0,0,0,80,79,60,147,105,124,0,0,0,114,92,98,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,5,6,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urartu,Zrinjski,0-1,Zrinjski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovan Bratislava,Swift Hesperange,1-1,Draw,15,9,19,0,0,0,0,0,0,105,59,80,1,0,0,102,87,123,6,8,13,4,5,12,36,15,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helsinki,Larne,1-0,Helsinki,0,0,0,0,0,0,15,15,15,81,87,132,0,0,0,0,0,0,10,7,11,0,0,0,0,0,0,0,0,0,11,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,9,26,0,0,0,0,0,0,0,0,0,0,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farul Constanța,Sheriff Tiraspol,1-0,Farul Constanța,0,0,0,0,0,0,2,1,13,2,3,7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,1,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Häcken,The New Saints,3-1,Häcken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,0,0,0,53,39,54,3,4,2,17,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,35,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astana,Dinamo Tbilisi,1-1,Draw,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,8,4,9,0,0,0,0,0,0,0,0,0,3,1,0,4,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BATE Borisov,Partizani,2-0,BATE Borisov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Struga,Žalgiris,1-2,Žalgiris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flora,Raków,0-3,Raków,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,31,29,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheriff Tiraspol,Farul Constanța,3-0,Sheriff Tiraspol,0,1,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maccabi Haifa,Ħamrun,2-1,Maccabi Haifa,0,0,0,0,0,0,34,11,18,0,0,0,45,41,46,0,0,0,0,0,0,0,0,0,156,52,64,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,49,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The New Saints,Häcken,0-2,Häcken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,0,0,0,53,39,54,3,4,2,17,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zrinjski,Urartu,2-3,Urartu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,11,0,0,0,0,0,0,14,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breiðablik,Shamrock Rovers,2-1,Breiðablik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qarabağ,Lincoln Red Imps,4-0,Qarabağ,4,9,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,5,6,9,0,0,0,0,0,10,55,45,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,0,0,0,0,0,0,80,79,60,147,105,124,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valmiera,Olimpija,1-2,Olimpija,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferencváros,KÍ,0-3,KÍ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinamo Tbilisi,Astana,1-2,Astana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ludogorets,Ballkani,4-0,Ludogorets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
